movie_ID,title,tconst,match_type
7654,Lumiere Brothers' First Films,,
4975,D.W. Griffith: Years of Discovery 1909-1913,,
9103,Tillie's Punctured Romance,tt0004707,1.0
10898,Cabiria,tt0003740,1.0
8821,The Birth of a Nation,tt0004972,1.0
3137,Les Vampires,tt0006206,3.0
14687,Chaplin's Essanay Comedies: Vol. 2,,
9001,Chaplin's Essanay Comedies: Vol. 3,,
13147,Chaplin's Essanay Comedies: Vol. 1,,
394,"20,000 Leagues Under the Sea",tt0006333,1.0
3387,Intolerance,tt0006864,1.0
16157,Chaplin Mutuals: Vol. 2,,
15896,Chaplin Mutuals: Vol. 3,,
4188,Slapstick Masters,,
4755,The Cook and Other Treasures,,
9810,Chaplin Mutuals: Vol. 1,,
370,Chaplin,,
237,Broken Blossoms,,
5938,Male and Female,tt0010418,1.0
5399,Daddy Long Legs,tt0010040,3.0
12657,Chaplin: The Collection: Vol. 5,,
17620,Spiders,,
12921,Chaplin: The Collection: Vol. 3,,
8539,The Cabinet of Dr. Caligari,,
14692,Chaplin: The Collection: Vol. 1,,
12148,Felix!: Felix the Cat 1919-1930,,
9898,Dr. Jekyll and Mr. Hyde,tt0011130,1.0
13798,The Last of the Mohicans,tt0011387,1.0
2847,The Mark of Zorro,tt0011439,1.0
3855,Way Down East,tt0011841,1.0
5110,The Mark of Zorro / Don Q: Son of Zorro,,
3457,Slapstick Symposium: The Harold Lloyd Collection,,
8264,The Three Musketeers,tt0012752,1.0
1407,Orphans of the Storm,tt0012532,1.0
11825,The Kid,tt0012349,1.0
9253,Destiny,tt0012494,1.0
234,Animation Legend: Winsor McCay,,
16598,The Marriage Circle,,
10264,The Saphead (Silent),,
3823,Sheik / The Son of the Sheik,,
3790,Avant-Garde: Experimental Cinema of the 1920s and '30s,,
2021,Robin Hood,tt0013556,1.0
5682,Oliver Twist,tt0013450,1.0
11318,Nanook of the North,tt0013427,1.0
8833,Foolish Wives / The Man You Loved to Hate: Double Feature,,
14846,Cyrano de Bergerac,,
9631,Haxan: Witchcraft Through the Ages,,
7514,The Hunchback of Notre Dame,tt1195751,1.0
11586,Three Ages,tt0014538,1.0
6669,The Navigator,tt0015163,1.0
3554,The Last Laugh,tt0015064,1.0
2644,Thief of Bagdad,,
16648,"Aelita, Queen of Mars",,
5210,Grass: A Nation's Battle for Life,tt0015873,1.0
10484,Sally of the Sawdust,tt0016308,1.0
4301,Strike,tt0015361,1.0
15318,Tumbleweeds,tt0016461,1.0
13678,The Lost World,tt0016039,1.0
3906,Go West,tt0015863,1.0
12311,The Phantom of the Opera,tt0016220,1.0
5963,The Gold Rush,tt0015864,1.0
4249,Battleship Potemkin,tt0015648,1.0
15607,Earth / The End of St. Petersburg / Chess Fever: Triple Feature,,
7660,Seven Chances (Silent),,
1767,The Gold Rush: Bonus Material,,
6086,Battling Butler,tt0016630,1.0
12109,Faust,tt0016847,1.0
16021,The Adventures of Prince Achmed,tt0015532,1.0
5133,Sparrows,tt0017423,1.0
15456,The Black Pirate,tt0016654,1.0
12871,Our Hospitality / Sherlock Jr.,,
11465,Alfred Hitchcock: Sabotage and The Lodger,,
3692,Mother (Russian Silent),,
11973,Son of the Sheik,,
16639,Uncle Tom's Cabin,tt0018524,1.0
5378,My Best Girl,tt0018183,1.0
4802,College,tt0017765,1.0
1232,It,tt0018033,1.0
17335,Metropolis,tt0017136,1.0
12561,October,tt0018217,3.0
136,Cat and the Canary,,
521,Presenting Felix the Cat,,
5231,The General (Silent),,
10798,Alfred Hitchcock: Blackmail and Easy Virtue,,
2355,Berlin: Symphony of a Great City / Opus 1,,
2893,The Little Rascals,,
2369,The Lon Chaney Collection: The Unknown,,
3908,Storm Over Asia,tt0019286,1.0
15193,"Steamboat Bill, Jr.",tt0019421,1.0
3260,The Man Who Laughs,tt0019130,1.0
7954,The Fall of the House of Usher,tt0018873,1.0
802,Spies,tt0019415,1.0
11494,Sex in Chains,tt0018935,1.0
10439,The Circus,tt0018773,1.0
15016,The Passion of Joan of Arc,tt0019254,1.0
9703,The Farmer's Wife,tt0018876,1.0
9522,The Lost Films of Laurel & Hardy,,
7168,The Cocoanuts,tt0019777,1.0
5422,Piccadilly,tt0020269,1.0
5980,Un Chien Andalou,tt0020530,3.0
4834,The Broadway Melody of 1929,tt0019729,3.0
12581,Iron Mask,,
8790,Man with the Movie Camera,,
14488,TCM Archives: Buster Keaton Collection,,
1114,Hell's Angels,,
3223,Nosferatu: Original Version,,
16227,The Love Trap / Directed by William Wyler: Double Feature,,
907,Animal Crackers,tt0020640,1.0
4128,Under the Roofs of Paris,tt0021409,1.0
15504,Murder!,tt0021165,1.0
3224,All Quiet on the Western Front,tt0020629,1.0
14789,The Big Trail,tt0020691,1.0
4004,The Blue Angel,tt0020697,1.0
6867,Landmarks of Early Film #2: Magic Melies,,
5501,Check and Double Check with Amos 'n' Andy,,
1586,Marihuana / Assassin of Youth / Reefer Madness,,
1825,L'Age D'Or,,
8274,Jean Cocteau's Orphic Trilogy,,
8220,Jack Benny Collection,,
12129,Bat Whispers,,
12978,Monkey Business,tt0022158,1.0
471,City Lights,tt0021749,1.0
12436,Le Million,tt0022150,1.0
3740,Dracula,tt0021814,1.0
6085,M,tt0022100,1.0
9373,Platinum Blonde,tt0022268,1.0
17001,Little Caesar,tt0021079,1.0
13742,The Public Enemy,tt0022286,1.0
12156,Tabu: A Story of the South Seas,tt0022458,1.0
10356,Woman in the Moon,,
12386,The Fanny Trilogy,,
5908,Frankenstein / Bride of Frankenstein: The Legacy Collection,,
16191,A Nous la Liberte,,
10476,Trouble in Paradise,tt0023622,1.0
3885,White Zombie,tt0023694,1.0
17022,Number 17,tt0023285,1.0
1178,Boudu Saved from Drowning,tt0022718,1.0
1556,A Farewell to Arms,tt0022879,1.0
16670,Grand Hotel,tt0022958,1.0
7812,Freaks,tt0022913,1.0
2941,Love Me Tonight,tt0023158,1.0
17257,I Am a Fugitive from a Chain Gang,tt0023042,1.0
13169,The Old Dark House,tt0023293,1.0
2584,The Most Dangerous Game,tt0023238,1.0
12440,Horse Feathers,tt0023027,1.0
12173,The Mummy,tt0023245,1.0
1124,Rain,tt0023369,1.0
5998,Vampyr,tt0023649,1.0
4627,Little Women,,
4215,Alfred Hitchcock: Rich and Strange/The Sorcerer's Apprentice,,
6505,Dr. Jekyll & Mr. Hyde: 1932 & 1941,,
14965,"Tarzan, the Ape Man / Tarzan Escapes (Double Feature)",,
17186,The Private Life of Henry VIII,,
15552,The Three Stooges: Greatest Hits & Rarities,,
15331,The Bela Lugosi Collection: Murders in Rue Morgue / The Black Cat / The Raven,,
6790,Queen Christina,tt0024481,1.0
9690,Duck Soup,tt0023969,1.0
13374,Dinner at Eight,tt0023948,1.0
4416,I'm No Angel,tt0024166,1.0
9122,Counsellor at Law,tt0023911,1.0
16168,Ecstasy,tt0022867,1.0
1838,The Testament of Dr. Mabuse,tt0023563,1.0
5065,W.C. Fields: Six Short Films,,
10676,"The Kennel Murder Case / Nancy Drew, Reporter: Double Feature",,
16591,Design for Living / Peter Ibbetson,,
9568,W.C. Fields,,
6182,90 Degrees South,,
4947,The Invisible Man: Special Edition,,
8410,"Hallelujah, I'm a Bum",,
1415,W.C. Fields: International House,,
11378,It Happened One Night,tt0025316,1.0
8382,The Thin Man,tt0025878,1.0
8659,Man of Aran,tt0025456,1.0
13096,Twentieth Century,tt0025919,1.0
16453,The Scarlet Pimpernel,tt0025748,1.0
14380,Born to Be Bad,tt0024906,1.0
4477,A Story of Floating Weeds,tt0025929,1.0
3868,It's a Gift,tt0025318,1.0
15649,Of Human Bondage,tt0025586,1.0
10299,L'Atalante,tt0024844,1.0
3453,The Man Who Knew Too Much,tt0025452,1.0
7932,The Three Stooges: Goofs on the Loose,,
3158,John Wayne: Man from Utah/Sagebrush Trail/Riders of Destiny/Star Packer,,
3848,The Ghoul,,
6197,Pre-Code Hollywood: Of Human Bondage,,
4235,Cartoons That Time Forgot: UB Iwerks Collection: Vol. 1,,
13245,The John Wayne Collection: Vol. 4: Lawless Frontier / Randy Rides Alone,,
6425,Cartoons That Time Forgot: UB Iwerks Collection: Vol. 2,,
7591,The John Wayne Collection: Vol. 2: Riders of Destiny / The Star Packer,,
16280,Triumph of the Will,,
9301,Here Comes Cookie / Love in Bloom / Six of a Kind: Triple Feature,,
9115,Laurel & Hardy: March of the Wooden Soldiers,,
8865,Shirley Temple: Little Miss Marker,,
4286,Tarzan and His Mate / Tarzan Finds a Son! (Double Feature),,
15384,The Chronological Donald: Vol. 1,,
2796,"Imitation of Life: Double Feature (1934, 1959)",,
9801,Anna Karenina,tt0026071,1.0
5316,The Lives of a Bengal Lancer,tt0026643,1.0
6679,Curly Top,tt0026252,1.0
17756,The 39 Steps,tt0026029,1.0
1129,Mutiny on the Bounty,tt0026752,1.0
11814,The Good Fairy,tt0026424,1.0
6292,Top Hat,tt0027125,1.0
253,A Night at the Opera,tt0026778,1.0
395,Captain Blood,tt0026174,1.0
6466,She,tt0026983,1.0
15338,Barbary Coast,tt0026097,1.0
9693,Werewolf of London,tt0027194,1.0
7537,The Wolf Man / Frankenstein Meets the Wolf Man: The Legacy Collection,,
13552,Famous Western Gunfighters: Desert Trail / Ride Ranger Ride / Roll on Texas Moon,,
16694,Three Stooges: Stooges and the Law,,
3419,The Three Stooges: Three Stooges in History,,
13456,Come and Get It,tt0027459,1.0
12235,Libeled Lady,tt0027884,1.0
10043,After the Thin Man,tt0027260,1.0
12166,As You Like It,tt0027311,1.0
1708,Modern Times,tt0027977,1.0
16975,Dimples,tt0027527,1.0
4804,The Great Ziegfeld,tt0027698,1.0
13901,Rembrandt,tt0028167,1.0
12061,The Petrified Forest,tt0028096,1.0
10084,Mr. Deeds Goes to Town,tt0027996,1.0
1784,Camille,tt0028683,1.0
14871,The Amazing Adventure,tt0027286,1.0
8473,Swing Time,tt0028333,1.0
6861,Sabotage,tt0028212,1.0
2408,My Man Godfrey,tt0028010,1.0
3070,Pennies from Heaven,tt0028092,1.0
8890,Fury,tt0027652,1.0
16562,Reefer Madness,tt0028346,1.0
8950,King of the Pecos,tt0027849,1.0
11261,Secret Agent,tt0028231,1.0
17433,Follow the Fleet,tt0027630,1.0
925,Dodsworth,tt0027532,1.0
12592,Flash Gordon: Space Soldiers,tt0027623,3.0
11780,The John Wayne Collection: Vol. 1: Man from Utah / Sagebrush Trail,,
6307,Pepe le Moko,,
10797,The Three Stooges: Cops and Robbers,,
11629,Deanna Durbin: Three Smart Girls / Something in the Wind,,
1458,Popeye,,
2297,The Lower Depths (Les Bas-fonds),,
1327,You Only Live Once,tt0029808,1.0
10179,Shall We Dance,tt0029546,1.0
12585,Dead End,tt0028773,1.0
12139,A Day at the Races,tt0028772,1.0
3164,Stella Dallas,tt0029608,1.0
16395,The Life of Emile Zola,tt0029146,1.0
14063,Nothing Sacred,tt0029322,1.0
5355,A Star Is Born,tt0029606,1.0
9377,The Prince and the Pauper,tt0029440,1.0
10360,Lost Horizon,tt0029162,1.0
10489,The Edge of the World,tt0028818,1.0
6275,Heidi,tt0028988,1.0
15868,The Awful Truth,tt0028597,1.0
11020,Stage Door,tt0029604,1.0
5585,Drole de Drame,tt0027552,3.0
14828,Grand Illusion,tt0028950,3.0
14694,Topper / Topper Returns: Double Feature,,
11640,Hal Roach's Rascals #2,,
6645,In Old Chicago,,
8150,Alfred Hitchcock: Young & Innocent / The Cheney Vase,,
12270,Hal Roach's Rascals #1,,
2593,Snow White and the Seven Dwarfs: Bonus Material,,
326,The Plainsman,,
9803,James Cagney Collection: Something to Sing About / Blood on the Sun,,
10002,The Three Stooges: Dizzy Doctors,,
10523,Bulldog Drummond Escapes/ Bulldog Drummond's Secret Police,,
5053,Laurel and Hardy: Way Out West / Block-Heads,,
15250,Alexander Nevsky,tt0029850,1.0
7001,Love Finds Andy Hardy,tt0030386,1.0
7117,The Lady Vanishes,tt0030341,1.0
11190,Alexander's Ragtime Band,tt0029852,1.0
3426,Flash Gordon's Trip to Mars,tt0030138,1.0
16840,The Adventures of Robin Hood,tt0029843,1.0
14057,Angels with Dirty Faces,tt0029870,1.0
3226,Bringing Up Baby,tt0029947,1.0
2930,Little Miss Broadway,tt0030371,1.0
9734,Pygmalion,tt0030637,1.0
4107,The Childhood of Maxim Gorky,tt0030055,3.0
10099,Room Service / At the Circus,,
3032,The Adventures of Robin Hood: Bonus Material,,
5731,You Can't Take It With You,,
10328,The Three Stooges: G.I. Stooge,,
9258,Laurel & Hardy & Friends,,
1086,Three Stooges: Stooges at Work,,
12619,"The Three Stooges: Healthy, Wealthy and Dumb",,
5303,The Big Broadcast of 1938 / College Swing,,
6511,The Three Stooges: Stooged and Confoosed,,
5335,Caught in the Draft / Give Me a Sailor: Double Feature,,
3833,Dark Victory,tt0031210,1.0
15129,Mr. Smith Goes to Washington,tt0031679,1.0
161,Ninotchka,tt0031725,1.0
9370,Beau Geste,tt0031088,1.0
1271,Drums Along the Mohawk,tt0031252,1.0
1186,Jamaica Inn,tt0031505,1.0
11854,Only Angels Have Wings,tt0031762,1.0
9334,Destry Rides Again,tt0031225,1.0
17184,The Rules of the Game,tt0031885,1.0
5569,The Adventures of Sherlock Holmes,tt0031022,1.0
